SleepNum, CPU, GPU, Sum, CPU_Concurent, GPU_Concurent, Sum_Concurent, System
1, 39133.1, 49274.4, 88407.5, 40625, 49324.8, 89949.8, 90736.6
2, 61281.1, 98428.9, 159710, 80699.6, 95476.5, 176176, 162127
4, 122504, 107575, 230079, 161986, 107604, 269590, 269783
8, 245216, 215163, 460378, 323952, 215216, 539168, 539389
16, 490311, 430394, 920706, 647569, 430440, 1.07801e+06, 1.07883e+06
32, 979868, 860856, 1.84072e+06, 1.29456e+06, 860888, 2.15545e+06, 2.15625e+06
64, 1.96062e+06, 1.72177e+06, 3.68239e+06, 2.58922e+06, 1.72178e+06, 4.31101e+06, 4.31124e+06
